DEBUG 2018-05-08 14:49:35,226 /Users/surui/.pyenv/versions/3.5.5/envs/hyx/lib/python3.5/site-packages/django/db/backends/utils.py utils.py utils execute 111: (0.001) SELECT COUNT(*) AS `__count` FROM `oi_order`; args=()
DEBUG 2018-05-08 14:49:35,227 /Users/surui/.pyenv/versions/3.5.5/envs/hyx/lib/python3.5/site-packages/django/db/backends/utils.py utils.py utils execute 111: (0.001) SELECT `oi_order`.`id`, `oi_order`.`student_id_fk`, `oi_order`.`order_style`, `oi_order`.`target_school`, `oi_order`.`target_major`, `oi_order`.`create_time`, `oi_order`.`update_time` FROM `oi_order` LIMIT 10; args=()
DEBUG 2018-05-08 14:49:35,233 /Users/surui/.pyenv/versions/3.5.5/envs/hyx/lib/python3.5/site-packages/django/db/backends/utils.py utils.py utils execute 111: (0.005) SELECT `oi_order`.`id`, `oi_order`.`student_id_fk`, `oi_order`.`order_style`, `oi_order`.`target_school`, `oi_order`.`target_major`, `oi_order`.`create_time`, `oi_order`.`update_time` FROM `oi_order`; args=()
DEBUG 2018-05-08 14:49:35,951 /Users/surui/.pyenv/versions/3.5.5/envs/hyx/lib/python3.5/site-packages/django/db/backends/utils.py utils.py utils execute 111: (0.001) SELECT @@SQL_AUTO_IS_NULL; args=None
DEBUG 2018-05-08 14:49:35,952 /Users/surui/.pyenv/versions/3.5.5/envs/hyx/lib/python3.5/site-packages/django/db/backends/utils.py utils.py utils execute 111: (0.001) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
DEBUG 2018-05-08 14:49:35,953 /Users/surui/.pyenv/versions/3.5.5/envs/hyx/lib/python3.5/site-packages/django/db/backends/utils.py utils.py utils execute 111: (0.001) SELECT VERSION(); args=None
DEBUG 2018-05-08 14:49:35,959 /Users/surui/.pyenv/versions/3.5.5/envs/hyx/lib/python3.5/site-packages/django/db/backends/utils.py utils.py utils execute 111: (0.001) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
DEBUG 2018-05-08 14:49:35,961 /Users/surui/.pyenv/versions/3.5.5/envs/hyx/lib/python3.5/site-packages/django/db/backends/utils.py utils.py utils execute 111: (0.001) SELECT COUNT(*) AS `__count` FROM `ui_student` WHERE `ui_student`.`name` LIKE BINARY '%%'; args=('%%',)
DEBUG 2018-05-08 14:49:35,963 /Users/surui/.pyenv/versions/3.5.5/envs/hyx/lib/python3.5/site-packages/django/db/backends/utils.py utils.py utils execute 111: (0.001) SELECT `ui_student`.`id`, `ui_student`.`name`, `ui_student`.`if_old_major`, `ui_student`.`sex`, `ui_student`.`mobile`, `ui_student`.`qq`, `ui_student`.`adviser`, `ui_student`.`due_year`, `ui_student`.`old_school`, `ui_student`.`old_major`, `ui_student`.`study_status`, `ui_student`.`status`, `ui_student`.`apply_time`, `ui_student`.`source`, `ui_student`.`background`, `ui_student`.`qq_group`, `ui_student`.`author`, `ui_student`.`remark`, `ui_student`.`extend`, `ui_student`.`create_time`, `ui_student`.`update_time` FROM `ui_student` WHERE `ui_student`.`name` LIKE BINARY '%%' LIMIT 10; args=('%%',)
DEBUG 2018-05-08 14:49:35,973 /Users/surui/.pyenv/versions/3.5.5/envs/hyx/lib/python3.5/site-packages/django/db/backends/utils.py utils.py utils execute 111: (0.009) SELECT `ui_student`.`id`, `ui_student`.`name`, `ui_student`.`if_old_major`, `ui_student`.`sex`, `ui_student`.`mobile`, `ui_student`.`qq`, `ui_student`.`adviser`, `ui_student`.`due_year`, `ui_student`.`old_school`, `ui_student`.`old_major`, `ui_student`.`study_status`, `ui_student`.`status`, `ui_student`.`apply_time`, `ui_student`.`source`, `ui_student`.`background`, `ui_student`.`qq_group`, `ui_student`.`author`, `ui_student`.`remark`, `ui_student`.`extend`, `ui_student`.`create_time`, `ui_student`.`update_time` FROM `ui_student` WHERE `ui_student`.`name` LIKE BINARY '%%'; args=('%%',)
